"id","tau_hat_log","trade_share","trade_share_normalized","trade_share_normalized_log","importer","exporter","distance","border","importer_is_OECD","exporter_is_OECD"
"AUS AUT",0.53935210688802,0.001847845,0.00252736878976614,-5.98057652146717,"AUS","AUT",15988.95,"0",1,1
"AUS BEL",0.741851220046566,0.002974848,0.00406881420763009,-5.50440367145477,"AUS","BEL",16759.6,"0",1,1
"AUS BGD",1.74007301622096,0.0001060897,0.000145102969510783,-8.83806693301281,"AUS","BGD",9077.625,"0",1,0
"AUS CAN",0.503172441405399,0.00466866,0.00638550612958857,-5.05372452410538,"AUS","CAN",15586.66,"0",1,1
"AUS CMR",2.41580982795473,4.869097e-07,6.65965153578572e-07,-14.222028489729,"AUS","CMR",14687.67,"0",1,0
"AUS DNK",0.49060584813785,0.001458572,0.00199494511196923,-6.21713874181617,"AUS","DNK",16054.1,"0",1,1
"AUS EGY",1.48302771214963,1.018547e-05,1.39310596868782e-05,-11.1813897007846,"AUS","EGY",14425.52,"0",1,0
"AUS ESP",1.19185844336033,0.002082451,0.00284824845353225,-5.86105105133985,"AUS","ESP",17699.45,"0",1,1
"AUS ETH",2.16809689580675,3.736749e-07,5.11089555551999e-07,-14.4867210066148,"AUS","ETH",12635.79,"0",1,0
"AUS FIN",0.431258566102777,0.002589063,0.00354116120179901,-5.64330058251721,"AUS","FIN",15211.41,"0",1,1
"AUS FRA",0.442129688615276,0.0082995,0.0113515458659488,-4.47840134468599,"AUS","FRA",16975.46,"0",1,1
"AUS GBR",0.63255912166465,0.02260487,0.0309175514909102,-3.47643124692015,"AUS","GBR",17011.27,"0",1,1
"AUS GRC",0.766533931445959,0.0003255614,0.000445282868158623,-7.71680081896008,"AUS","GRC",15337.68,"0",1,1
"AUS IND",1.58949067185477,0.001942985,0.00265749543277914,-5.93037116636521,"AUS","IND",10435.1,"0",1,0
"AUS IRL",0.618434014902632,0.001644062,0.00224864693047334,-6.09742660789188,"AUS","IRL",17230.5,"0",1,1
"AUS IRN",1.11324489216053,7.007536e-05,9.5844769337053e-05,-9.25278066130177,"AUS","IRN",12915.79,"0",1,1
"AUS ITA",0.909613286497996,0.01003019,0.0137186772491332,-4.28899707174522,"AUS","ITA",16333.25,"0",1,1
"AUS JAM",0.898832184597269,6.284532e-07,8.59559651111787e-07,-13.9668456124238,"AUS","JAM",14968.03,"0",1,0
"AUS JPN",0.468212077248559,0.04269161,0.0583909595766247,-2.84059420290111,"AUS","JPN",7831.446,"0",1,1
"AUS KEN",1.84130072432517,8.656802e-06,1.18402415754488e-05,-11.3440065253847,"AUS","KEN",12158.13,"0",1,0
"AUS KOR",1.2853622671189,0.01075687,0.0147125854785286,-4.21905199648714,"AUS","KOR",8329.652,"0",1,1
"AUS LKA",2.05283771027846,0.0001344777,0.000183930330682246,-8.60095350965309,"AUS","LKA",8751.808,"0",1,0
"AUS MLI",1.7898463014144,6.454384e-07,8.82790963461002e-07,-13.9401773988407,"AUS","MLI",16866.65,"0",1,0
"AUS MUS",2.6794374017079,2.332071e-05,3.18966334347238e-05,-10.3530100887043,"AUS","MUS",9105.979,"0",1,0
"AUS NLD",0.641610727840667,0.002866024,0.00391997143067775,-5.54167091329874,"AUS","NLD",16658.11,"0",1,0
"AUS NOR",0.223846674382872,0.0004763675,0.000651546180528628,-7.33616228052142,"AUS","NOR",15963.53,"0",1,1
"AUS NPL",1.54144864236308,4.738877e-06,6.48154462540993e-06,-11.9465517078864,"AUS","NPL",9751.761,"0",1,0
"AUS NZL",0.663024057852859,0.0143174,0.0195824595193849,-3.93312103590822,"AUS","NZL",2333.461,"0",1,1
"AUS PAK",2.0054471966709,0.0006553125,0.000896296150404187,-7.01723967459603,"AUS","PAK",11079.12,"0",1,0
"AUS PHL",1.8186067603533,0.00106931,0.00146253647929606,-6.52758303606092,"AUS","PHL",6275.747,"0",1,0
"AUS PRT",0.865009735194661,0.0002708067,0.000370392755690852,-7.90094661345356,"AUS","PRT",18190.62,"0",1,0
"AUS SLE",1.8154625580522,1.902345e-06,2.60191053923228e-06,-12.8592645600053,"AUS","SLE",16790.26,"0",1,0
"AUS SWE",0.338000321624524,0.005957787,0.00814869478764423,-4.80989751330986,"AUS","SWE",15608.91,"0",1,1
"AUS THA",1.7261575255979,0.004317609,0.00590536015359156,-5.13189483989862,"AUS","THA",7539.52,"0",1,0
"AUS TUN",1.91165712194654,2.728393e-05,3.73172821011309e-05,-10.1960540115093,"AUS","TUN",16498.66,"0",1,0
"AUS TUR",1.38193977580513,0.0002140704,0.000292792332567263,-8.13604696280721,"AUS","TUR",14960.31,"0",1,1
"AUS USA",0.431305298453418,0.06922975,0.0946881959651987,-2.35716593317795,"AUS","USA",16008.79,"0",1,1
"AUS ZWE",2.19428171053737,1.538295e-05,2.10398533018371e-05,-10.7690921424652,"AUS","ZWE",11469.38,"0",1,0
"AUT AUS",0.754943927192428,0.000184624,0.000283445220277854,-8.16849168000026,"AUT","AUS",15988.95,"0",1,1
"AUT BEL",0.830604330666619,0.02152049,0.0330394749790783,-3.41005222091935,"AUT","BEL",914.4633,"0",1,1
"AUT BGD",2.20042956035839,0.0001391779,0.000213673793890876,-8.45106003352447,"AUT","BGD",6911.951,"0",1,0
"AUT CAN",0.560402725563147,0.004833211,0.00742021923771745,-4.90354667537716,"AUT","CAN",6922.538,"0",1,1
"AUT DNK",0.395633032053401,0.005878809,0.00902548050078229,-4.70770353509654,"AUT","DNK",868.5304,"0",1,1
"AUT EGY",1.67170382128703,3.970435e-05,6.09563666248105e-05,-9.70535225097357,"AUT","EGY",2386.201,"0",1,0
"AUT ESP",0.993439345093878,0.01050976,0.0161351787322741,-4.12675337623717,"AUT","ESP",1811.999,"0",1,1
"AUT ETH",2.35291129382022,2.414285e-06,3.70654705584603e-06,-12.5054098274369,"AUT","ETH",4841.559,"0",1,0
"AUT FIN",0.428219382379348,0.005625209,0.00863613941911109,-4.75179962251465,"AUT","FIN",1437.813,"0",1,1
"AUT FRA",0.585975932592198,0.04034049,0.0619330047781792,-2.78170204626554,"AUT","FRA",1035.144,"0",1,1
"AUT GBR",0.906388740392348,0.02725893,0.0418494530417963,-3.17367655162319,"AUT","GBR",1238.199,"0",1,1
"AUT GRC",0.871213825696912,0.001965065,0.00301687907198035,-5.8035324018159,"AUT","GRC",1283.6,"0",1,1
"AUT IND",1.80136463818026,0.00131516,0.00201910811108319,-6.20509939423847,"AUT","IND",5571.096,"0",1,0
"AUT IRL",0.793684473947566,0.004008413,0.00615394263882059,-5.09066232308436,"AUT","IRL",1681.996,"0",1,1
"AUT IRN",1.30363057725836,0.0004516964,0.000693469893387174,-7.2738027317153,"AUT","IRN",3184.971,"0",1,1
"AUT ITA",0.570605919183354,0.07278786,0.111748044735536,-2.19150854241526,"AUT","ITA",767.4132,"1",1,1
"AUT JAM",1.12017700114453,1.901406e-06,2.91914617009507e-06,-12.7442193919452,"AUT","JAM",8765.403,"0",1,0
"AUT JPN",0.497139521005733,0.01612058,0.0247492273437189,-3.69896100889034,"AUT","JPN",9141.063,"0",1,1
"AUT KEN",2.18023850030017,5.116283e-06,7.85480740282324e-06,-11.7543848056123,"AUT","KEN",5854.16,"0",1,0
"AUT KOR",1.33132737578109,0.002946303,0.00452333121826145,-5.398506561395,"AUT","KOR",8289.029,"0",1,1
"AUT LKA",2.37507083537591,0.0001773311,0.000272248747192208,-8.20879439784331,"AUT","LKA",7497.094,"0",1,0
"AUT MLI",1.86805158924354,2.739525e-06,4.20587392257609e-06,-12.379028456745,"AUT","MLI",4552.871,"0",1,0
"AUT MUS",2.64053469010485,3.896631e-05,5.98232858207229e-05,-9.72411557780688,"AUT","MUS",8641.501,"0",1,0
"AUT MWI",1.98887769473018,2.376757e-07,3.64893194499053e-07,-14.8236611439957,"AUT","MWI",7133.681,"0",1,0
"AUT NLD",0.764691589225105,0.02558559,0.0392804467105515,-3.23702842309232,"AUT","NLD",934.7828,"0",1,0
"AUT NOR",0.176228063179314,0.001757362,0.00269800166391114,-5.91524390447655,"AUT","NOR",1351.699,"0",1,1
"AUT NPL",1.757503497176,7.072729e-05,0.000108584540978993,-9.12798150885665,"AUT","NPL",6237.937,"0",1,0
"AUT NZL",1.20606136554765,9.574579e-05,0.00014699435900656,-8.82511634602688,"AUT","NZL",18322.31,"0",1,1
"AUT PAK",2.21030089076954,0.000598505,0.000918858770053714,-6.99237812527056,"AUT","PAK",4915.899,"0",1,0
"AUT PHL",2.03690488811909,0.000464556,0.000713212679561696,-7.24573089372377,"AUT","PHL",9853.35,"0",1,0
"AUT PRT",1.07688370152016,0.005104349,0.00783648565018656,-4.84896480402265,"AUT","PRT",2299.266,"0",1,0
"AUT SEN",2.18359530008198,1.363508e-06,2.09333469868823e-06,-13.0767522139129,"AUT","SEN",4854.112,"0",1,0
"AUT SLE",2.02601739260192,4.269406e-05,6.55463387276622e-05,-9.63275320396496,"AUT","SLE",5222.959,"0",1,0
"AUT SWE",0.458999435123397,0.01191822,0.0182975262870479,-4.00098940384296,"AUT","SWE",1242.31,"0",1,1
